u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,ref,junction,bridge,tunnel,maxspeed,access
31673663,1496464710,0,514562551,tertiary,2,Joel Ogunnaike Street,False,True,63.05202860419349,"LINESTRING (539358.8185731389 728101.1231943668, 539300.1675032981 728077.9992466972)",,,,,,
31673663,1496464644,0,4904959,residential,1,Isaac John Street,False,False,153.4149207851291,"LINESTRING (539358.8185731389 728101.1231943668, 539369.5478614607 728076.9432034275, 539387.7068336185 728036.0317276482, 539401.5374963109 728003.4192333401, 539419.4985854498 727961.0262981646)",,,,,,
31673663,1496492259,0,514562551,tertiary,2,Joel Ogunnaike Street,False,False,112.49417589875179,"LINESTRING (539358.8185731389 728101.1231943668, 539408.8161772909 728120.8251337033, 539439.8712592766 728133.0627307392, 539463.4664784975 728142.3655228954)",,,,,,
1496464710,1496492300,0,4930690,residential,2,Harold Sodipo Crescent,False,True,111.77868894830736,"LINESTRING (539300.1675032981 728077.9992466972, 539258.4509500226 728181.1097268034)",,,,,,
1496464710,31673663,0,514562551,tertiary,2,Joel Ogunnaike Street,False,False,63.05202860419349,"LINESTRING (539300.1675032981 728077.9992466972, 539358.8185731389 728101.1231943668)",,,,,,
1496464710,1496492298,0,514562551,tertiary,2,Joel Ogunnaike Street,False,True,173.0354788872092,"LINESTRING (539300.1675032981 728077.9992466972, 539159.1483299567 728022.4266843657, 539139.2000645362 728014.5637209989)",,,,,,
1496464644,32444898,0,4904959,residential,1,Isaac John Street,False,False,399.8227232932883,"LINESTRING (539419.4985854498 727961.0262981646, 539448.1572885031 727892.4966890753, 539461.0249334171 727861.729651255, 539469.9171350687 727840.4557454071, 539485.9408178399 727802.1406212637, 539494.0465420476 727783.1102566241, 539509.417342509 727745.7453740055, 539520.6347840218 727719.3106024868, 539529.6152540441 727698.3352443466, 539555.1503645809 727638.724574685, 539572.5275996581 727593.777632784)",,,,,,
1496464644,31673663,0,4904959,residential,1,Isaac John Street,False,True,153.4149207851291,"LINESTRING (539419.4985854498 727961.0262981646, 539401.5374963109 728003.4192333401, 539387.7068336185 728036.0317276482, 539369.5478614607 728076.9432034275, 539358.8185731389 728101.1231943668)",,,,,,
1496464644,6818836655,0,136426192,residential,,Ajisafe Street,False,True,318.3494654468546,"LINESTRING (539419.4985854498 727961.0262981646, 539307.9083111671 727919.2042913811, 539260.7501294572 727901.5274812026, 539249.6233573114 727893.936063618, 539247.8634694017 727881.4430268358, 539257.6761880394 727855.8694756911, 539291.5556508526 727767.5114141091)",,,,,,
1496492259,31673663,0,514562551,tertiary,2,Joel Ogunnaike Street,False,True,112.49417589875179,"LINESTRING (539463.4664784975 728142.3655228954, 539439.8712592766 728133.0627307392, 539408.8161772909 728120.8251337033, 539358.8185731389 728101.1231943668)",,,,,,
1496492259,1496492416,0,1059941001,primary,2,Mobolaji Bank-Anthony Way,True,False,585.9177941885595,"LINESTRING (539463.4664784975 728142.3655228954, 539531.6822484275 727976.7267526389, 539574.8488533371 727871.915068291, 539686.2970780847 727603.5652417685)",A152,,,,,
31673672,31673675,0,1059940999,tertiary,2,Sobo Arobiodu Street,False,False,14.269681779497999,"LINESTRING (539844.8575884934 727249.7636909182, 539831.6397737609 727244.3926446437)",,,,,,
31673672,3013698718,0,8164363,primary,2,Mobolaji Bank-Anthony Way,True,False,356.91500359948117,"LINESTRING (539844.8575884934 727249.7636909182, 539840.0842042286 727261.8540726352, 539827.4895363844 727296.866229349, 539817.4133836651 727319.3331386206, 539813.0387116104 727330.4178334747, 539799.2058788651 727365.4954319212, 539795.7393701511 727374.2814080381, 539792.4390678171 727382.5368792687, 539779.3929304908 727415.1498542469, 539772.9917056066 727431.1303172861, 539752.2153740374 727483.0834284237, 539735.6576728208 727525.731537437, 539734.0733305542 727530.5944582212, 539715.0674728998 727580.2826445225)",A152,,,,,
31673675,31673680,0,8156468,tertiary,2,Sobo Arobiodu Street,False,False,105.5789882567703,"LINESTRING (539831.6397737609 727244.3926446437, 539733.8322675651 727204.6801723101)",,,,,,
31673675,31673672,0,1059940999,tertiary,2,Sobo Arobiodu Street,False,True,14.269681779497999,"LINESTRING (539831.6397737609 727244.3926446437, 539844.8575884934 727249.7636909182)",,,,,,
31673675,54126882,0,"[1059941000, 828817900]",primary,2,Mobolaji Bank-Anthony Way,True,False,496.42193721320024,"LINESTRING (539831.6397737609 727244.3926446437, 539834.6298584606 727237.098709169, 539872.0611988571 727146.0019499641, 540019.3513985265 726787.450238569)",A152,,,,,
3013698718,1496492366,0,8164363,primary,2,Mobolaji Bank-Anthony Way,True,False,31.34462160481783,"LINESTRING (539715.0674728998 727580.2826445225, 539703.8148406404 727609.3704802569)",A152,,,,,
3013698718,5020212258,0,513636334,primary_link,2,,True,False,25.622799637299153,"LINESTRING (539715.0674728998 727580.2826445225, 539709.8466931765 727584.3027964552, 539705.6678421134 727584.4656136136, 539701.9988008017 727582.8379389531, 539699.8676220488 727579.486839116, 539699.2865838953 727572.7099017672)",,,,,,
31673680,31673675,0,8156468,tertiary,2,Sobo Arobiodu Street,False,True,105.5789882567703,"LINESTRING (539733.8322675651 727204.6801723101, 539831.6397737609 727244.3926446437)",,,,,,
31673680,6819458605,0,4904959,residential,1,Isaac John Street,False,False,113.06709877592446,"LINESTRING (539733.8322675651 727204.6801723101, 539744.5520690638 727178.7646518198, 539758.8820526149 727144.1406408172, 539778.9220897466 727101.6166440715)",,,,,,
