osmid,y,x,street_count,highway,geometry
31673663,728101.1231943668,539358.8185731389,3,,POINT (539358.8185731389 728101.1231943668)
1496464710,728077.9992466972,539300.1675032981,3,,POINT (539300.1675032981 728077.9992466972)
1496464644,727961.0262981646,539419.4985854498,3,,POINT (539419.4985854498 727961.0262981646)
1496492259,728142.3655228954,539463.4664784975,3,,POINT (539463.4664784975 728142.3655228954)
31673672,727249.7636909182,539844.8575884934,3,traffic_signals,POINT (539844.8575884934 727249.7636909182)
31673675,727244.3926446437,539831.6397737609,4,traffic_signals,POINT (539831.6397737609 727244.3926446437)
3013698718,727580.2826445225,539715.0674728998,3,,POINT (539715.0674728998 727580.2826445225)
31673680,727204.6801723101,539733.8322675651,4,,POINT (539733.8322675651 727204.6801723101)
54126882,726787.450238569,540019.3513985265,3,,POINT (540019.3513985265 726787.450238569)
6819458605,727101.6166440715,539778.9220897466,3,,POINT (539778.9220897466 727101.6166440715)
32444898,727593.777632784,539572.5275996581,3,,POINT (539572.5275996581 727593.777632784)
1496464720,727152.7973094076,539606.0523639468,4,,POINT (539606.0523639468 727152.7973094076)
31683795,726693.6246097228,540058.8968003083,3,,POINT (540058.8968003083 726693.6246097228)
31683808,726660.5859157506,540079.3393831719,3,,POINT (540079.3393831719 726660.5859157506)
54126915,726668.5300222421,540058.2627235476,3,,POINT (540058.2627235476 726668.5300222421)
31683819,726601.2220019908,540139.9640772847,3,,POINT (540139.9640772847 726601.2220019908)
1496521849,726442.6401853457,540060.3719503814,3,,POINT (540060.3719503814 726442.6401853457)
5602056488,726543.3232590437,540269.5051189343,3,,POINT (540269.5051189343 726543.3232590437)
31683868,726427.911440381,540586.0410913549,3,traffic_signals,POINT (540586.0410913549 726427.911440381)
1473197545,726381.8564854575,540614.6412495307,4,,POINT (540614.6412495307 726381.8564854575)
1473197563,726414.4000681599,540627.7729322612,4,,POINT (540627.7729322612 726414.4000681599)
32442613,728050.9528067303,538837.600673952,3,,POINT (538837.600673952 728050.9528067303)
1496492207,728126.2587451524,538808.2858250508,3,,POINT (538808.2858250508 728126.2587451524)
1496492267,728036.2433504134,538843.7353522375,3,,POINT (538843.7353522375 728036.2433504134)
1496492329,727987.4745832313,538676.8317126749,3,,POINT (538676.8317126749 727987.4745832313)
32442616,727870.5838419192,538377.6716852994,3,,POINT (538377.6716852994 727870.5838419192)
7330366685,727913.2759500243,538487.4048533593,3,,POINT (538487.4048533593 727913.2759500243)
1496425335,727976.9479230404,538340.1663611952,3,,POINT (538340.1663611952 727976.9479230404)
5604185907,727802.516619345,538404.2615390485,3,,POINT (538404.2615390485 727802.516619345)
32443530,727916.7092210039,538890.9459413476,3,,POINT (538890.9459413476 727916.7092210039)
1496492427,727982.9347475444,539058.9538292995,3,,POINT (539058.9538292995 727982.9347475444)
32443616,727735.5330416602,538431.2486737106,3,,POINT (538431.2486737106 727735.5330416602)
32443618,727663.7306271684,538459.6542418068,3,,POINT (538459.6542418068 727663.7306271684)
32445124,727595.1896204441,538488.4445269569,4,,POINT (538488.4445269569 727595.1896204441)
13729211249,727553.2314826916,538177.5010150998,3,,POINT (538177.5010150998 727553.2314826916)
32443619,727459.5907353597,537941.544469612,3,,POINT (537941.544469612 727459.5907353597)
54596071,727170.4473035877,538057.4768594238,3,,POINT (538057.4768594238 727170.4473035877)
5602360607,727120.3267511609,537946.7631093245,3,,POINT (537946.7631093245 727120.3267511609)
32444791,727469.0925514565,539263.4784548165,4,,POINT (539263.4784548165 727469.0925514565)
12154792144,727442.5718750547,539200.4734540019,3,,POINT (539200.4734540019 727442.5718750547)
10699014663,727420.8626546763,539281.3663511262,3,,POINT (539281.3663511262 727420.8626546763)
11399341525,727486.1118710766,539303.2638837972,3,,POINT (539303.2638837972 727486.1118710766)
5604185899,727723.8486488635,539124.7473848131,3,,POINT (539124.7473848131 727723.8486488635)
1496464650,727542.6485094372,539447.1247414831,3,,POINT (539447.1247414831 727542.6485094372)
1496464584,727655.0993624005,538637.421837971,3,,POINT (538637.421837971 727655.0993624005)
32451975,727251.0900236387,538629.7226542365,3,,POINT (538629.7226542365 727251.0900236387)
1496425349,727526.3139698878,538306.153818645,3,,POINT (538306.153818645 727526.3139698878)
32446393,727077.7144412508,539421.1347049739,3,,POINT (539421.1347049739 727077.7144412508)
1496425540,727037.4047238303,539321.8457032986,3,,POINT (539321.8457032986 727037.4047238303)
1496425589,727232.1371399601,538622.3069984901,3,,POINT (538622.3069984901 727232.1371399601)
32452358,728500.6039360467,538143.4167740309,3,,POINT (538143.4167740309 728500.6039360467)
5602254348,728480.1588917214,538152.2304113439,3,,POINT (538152.2304113439 728480.1588917214)
5231558475,728560.3307155571,538093.0989898491,3,,POINT (538093.0989898491 728560.3307155571)
5092987790,728542.78669011,538140.7234474611,3,,POINT (538140.7234474611 728542.78669011)
32454283,728785.6949558378,537452.8383831979,3,,POINT (537452.8383831979 728785.6949558378)
5523092426,728785.0027529441,537442.8012880746,4,,POINT (537442.8012880746 728785.0027529441)
32455789,728832.9740235974,537434.0135001242,3,,POINT (537434.0135001242 728832.9740235974)
32455411,728940.2558340428,537330.713249616,3,,POINT (537330.713249616 728940.2558340428)
32455546,728773.5340606914,537353.8859596147,3,,POINT (537353.8859596147 728773.5340606914)
5523092020,728946.4733231675,537419.3112912672,4,,POINT (537419.3112912672 728946.4733231675)
32455539,728944.2898718457,537427.2278340637,3,,POINT (537427.2278340637 728944.2898718457)
1477869651,728977.4573567801,537432.3788534056,3,,POINT (537432.3788534056 728977.4573567801)
1477869603,728843.7010937888,537505.0650318699,3,,POINT (537505.0650318699 728843.7010937888)
32456412,728863.8875474024,537652.0329041493,3,,POINT (537652.0329041493 728863.8875474024)
1477869689,728932.505360982,537638.046260993,3,,POINT (537638.046260993 728932.505360982)
1477869387,728863.638305358,537724.0867869062,3,,POINT (537724.0867869062 728863.638305358)
32864858,726436.1926573975,538228.0089375977,3,,POINT (538228.0089375977 726436.1926573975)
1496464726,726614.8097983933,538286.0571096475,3,,POINT (538286.0571096475 726614.8097983933)
54126815,726249.6690544467,538660.2265384111,3,,POINT (538660.2265384111 726249.6690544467)
1496464721,726638.3678670892,538142.8561267026,3,,POINT (538142.8561267026 726638.3678670892)
32865314,726636.1906305415,539975.6938971463,3,,POINT (539975.6938971463 726636.1906305415)
11399370461,726741.2308376846,539927.8713509586,3,,POINT (539927.8713509586 726741.2308376846)
1496464588,726458.0975383547,539526.3341578983,3,,POINT (539526.3341578983 726458.0975383547)
32893015,727726.5696404591,539654.0502402983,3,,POINT (539654.0502402983 727726.5696404591)
1495740961,727788.6342890076,539628.3474731972,3,,POINT (539628.3474731972 727788.6342890076)
13172361159,728003.3175545399,540241.6558278016,3,,POINT (540241.6558278016 728003.3175545399)
32895907,727742.4790884915,540630.1135613231,3,,POINT (540630.1135613231 727742.4790884915)
1495740897,727815.7768392831,540561.8956551963,3,,POINT (540561.8956551963 727815.7768392831)
13542785787,727734.6001276966,540619.2082367024,3,,POINT (540619.2082367024 727734.6001276966)
1495740681,727781.2182165326,540679.9091570532,3,,POINT (540679.9091570532 727781.2182165326)
32897069,728425.231894325,540015.0145911654,3,,POINT (540015.0145911654 728425.231894325)
256756052,728366.0940724257,539945.2802092698,4,,POINT (539945.2802092698 728366.0940724257)
1495741081,728248.4301137835,540176.7186019247,3,,POINT (540176.7186019247 728248.4301137835)
32897157,728501.2589091783,540096.5650570351,3,,POINT (540096.5650570351 728501.2589091783)
1495741302,728546.2333034499,540056.2934024665,3,,POINT (540056.2934024665 728546.2333034499)
1495740762,728578.3184514262,540184.0287894795,3,,POINT (540184.0287894795 728578.3184514262)
32897235,728659.7314526745,539964.3469474654,4,,POINT (539964.3469474654 728659.7314526745)
7770758115,728615.4073983493,539895.2211745665,3,,POINT (539895.2211745665 728615.4073983493)
1495741151,728587.268891643,540026.6260835407,3,,POINT (540026.6260835407 728587.268891643)
1495741364,728706.7105996391,539929.2807943095,1,,POINT (539929.2807943095 728706.7105996391)
1495741079,728742.1862960828,540204.9021723996,3,,POINT (540204.9021723996 728742.1862960828)
32897435,728687.782179435,539803.0284773677,3,,POINT (539803.0284773677 728687.782179435)
5580313771,728641.7235967414,539750.4305595725,3,,POINT (539750.4305595725 728641.7235967414)
1495688617,728784.6400065727,539721.7071932239,3,,POINT (539721.7071932239 728784.6400065727)
32898385,729597.075676222,540306.3777109372,4,,POINT (540306.3777109372 729597.075676222)
1495640568,729590.3490878595,540299.0866899343,3,,POINT (540299.0866899343 729590.3490878595)
36688934,729701.7569462968,540206.424319905,3,,POINT (540206.424319905 729701.7569462968)
32899254,729182.6584157055,542039.8571199481,3,motorway_junction,POINT (542039.8571199481 729182.6584157055)
1473223374,729123.9272549448,542072.1701939583,3,,POINT (542072.1701939583 729123.9272549448)
1029588126,728868.5994696247,542292.8494503835,2,,POINT (542292.8494503835 728868.5994696247)
33837360,729135.8604321398,538015.2093110488,4,,POINT (538015.2093110488 729135.8604321398)
1496403545,729137.1527765659,537965.5515059193,3,,POINT (537965.5515059193 729137.1527765659)
1496403671,729006.1463129456,538049.2583134022,3,,POINT (538049.2583134022 729006.1463129456)
1018019829,729222.2856448275,537998.8885413271,3,,POINT (537998.8885413271 729222.2856448275)
1496385190,729142.6733613478,538083.9969028165,3,,POINT (538083.9969028165 729142.6733613478)
34366275,733045.9589491558,538747.1488275819,3,,POINT (538747.1488275819 733045.9589491558)
12065354080,733055.1686912756,538748.8224892147,3,,POINT (538748.8224892147 733055.1686912756)
34367294,732963.9872975498,539119.342735783,4,traffic_signals,POINT (539119.342735783 732963.9872975498)
1489135932,732963.5533580658,539130.9052839458,3,,POINT (539130.9052839458 732963.5533580658)
34484803,732598.6987856737,539185.3404013404,4,traffic_signals,POINT (539185.3404013404 732598.6987856737)
5618689792,732597.3250938555,539150.2896566315,3,,POINT (539150.2896566315 732597.3250938555)
5618689791,732583.2761110028,539183.4169922511,4,,POINT (539183.4169922511 732583.2761110028)
34484816,732521.6849162574,539160.2478748114,3,,POINT (539160.2478748114 732521.6849162574)
1489135508,732518.1416539401,539167.6675403086,4,,POINT (539167.6675403086 732518.1416539401)
1489200381,732396.0749914615,539089.1284062539,3,,POINT (539089.1284062539 732396.0749914615)
34485050,732211.1958814573,538979.7157455494,3,,POINT (538979.7157455494 732211.1958814573)
